"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10248,"VINET",5,"1996-07-04 00:00:00","1996-08-01 00:00:00","1996-07-16 00:00:00",3,32.38,"Vins et alcools Chevalier","59 rue de l-Abbaye","Reims","","51100","France"
10249,"TOMSP",6,"1996-07-05 00:00:00","1996-08-16 00:00:00","1996-07-10 00:00:00",1,11.61,"Toms Spezialitten","Luisenstr. 48","Mnster","","44087","Germany"
10250,"HANAR",4,"1996-07-08 00:00:00","1996-08-05 00:00:00","1996-07-12 00:00:00",2,65.83,"Hanari Carnes","Rua do Pao, 67","Rio de Janeiro","RJ","05454-876","Brazil"
10251,"VICTE",3,"1996-07-08 00:00:00","1996-08-05 00:00:00","1996-07-15 00:00:00",1,41.34,"Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
10252,"SUPRD",4,"1996-07-09 00:00:00","1996-08-06 00:00:00","1996-07-11 00:00:00",2,51.3,"Suprmes dlices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
10253,"HANAR",3,"1996-07-10 00:00:00","1996-07-24 00:00:00","1996-07-16 00:00:00",2,58.17,"Hanari Carnes","Rua do Pao, 67","Rio de Janeiro","RJ","05454-876","Brazil"
10254,"CHOPS",5,"1996-07-11 00:00:00","1996-08-08 00:00:00","1996-07-23 00:00:00",2,22.98,"Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland"
10255,"RICSU",9,"1996-07-12 00:00:00","1996-08-09 00:00:00","1996-07-15 00:00:00",3,148.33,"Richter Supermarkt","Starenweg 5","Genve","","1204","Switzerland"
10256,"WELLI",3,"1996-07-15 00:00:00","1996-08-12 00:00:00","1996-07-17 00:00:00",2,13.97,"Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil"
103248,"VINET",5,"1996-07-04 00:00:00","1996-08-01 00:00:00","1996-07-16 00:00:00",3,32.38,"Vins et alcools Chevalier","59 rue de l-Abbaye","Reims","","51100","France"